ID,feature1,feature2,labels
109,9.99,3.29,2
110,4.66,15.95,4
111,1.06,4.16,1
112,0,0,0
113,9.3,3.61,2
114,5.54,14.85,4
115,0.24,0.13,0
116,10.08,3.25,2
117,7.28,8.03,3
118,10.1,4.41,2
119,6.16,11.58,3
120,-1.53,0.04,0
121,-1.78,-1.52,0
122,9.98,2.14,2
123,9.69,4.24,2
124,9.82,2.8,2
125,6.15,14.75,4
126,9.87,1.81,2
127,10,2.79,2
128,0,0,0
129,5.22,14.77,4
130,7.74,3.75,3
131,4.6,14.38,4
132,3.14,5.08,1
133,1.7,-0.51,0
134,3.62,14.41,4
135,-0.24,0.94,0
136,0,0,0
137,-0.22,0.44,0
138,10,5.14,2
139,7.21,4.64,3
140,4.31,14.79,4
141,1.36,-1.42,0
142,4.24,14.72,4
143,4,15.07,4
144,1.88,1.36,0
145,6.04,9.3,3
146,10.27,2.54,2
147,7.3,7.64,3
148,0,0,0
149,5.94,14.94,4
150,1.71,0.9,0
151,5.87,14.82,4
152,10.65,-0.39,2
153,0.46,0.77,0
154,0,0,0
155,4.29,15.5,4
156,0.73,0.06,0
157,5.07,14.98,4
158,6.9,15.81,4
159,5.21,14.68,4
160,10.13,0.29,2
161,5.45,14.58,4
162,4.89,14.59,4
163,4.4,15.89,4
164,0,0,0
165,1.08,0.13,0
166,9.77,2.78,2
167,1.55,-1.66,0
168,0,0,0
169,2.14,6.36,1
170,4.92,15.04,4
171,4.69,14.76,4
172,0,0,0
173,7.99,4.78,3
174,5.76,7.47,3
175,2.75,7.3,1
176,4.07,15.98,4
177,2,5.51,1
178,0,0,0
179,5.1,16.05,4
180,2.34,4.77,1
181,2.37,5.1,1
182,2.27,7.05,1
183,2.24,6.82,1
184,1.83,7.09,1
185,10.67,4.21,3
186,5.12,14.53,4
187,0,0,0
188,1.52,-0.65,0
189,7.53,7.09,3
190,1.51,2.29,1
191,0,0,0
192,4.58,14.83,4
193,10.39,6.71,3
194,0,0,0
195,10.16,2.56,2
196,9.84,2.05,2
197,5.8,14.87,4
198,8.03,7,3
199,-1.1,0.33,0
200,2.64,5.54,1
201,0.42,-0.22,0
202,10.1,2.83,2
203,10.62,4.38,2
204,4.81,14.67,4
205,9.73,3.72,2
206,2.4,4.69,1
207,1.1,7.07,1
208,1.91,6.46,1
209,10.7,1.66,2
210,1.8,5.66,1
211,0,0,0
212,10.33,1.99,2
213,4.68,14.52,4
214,10.39,1.72,2
215,6.66,3.92,3
216,7.45,15.58,4
217,0,0,0
218,2.13,0.94,0
219,8.34,10.82,3
220,6.6,15.08,4
221,2.48,3.86,1
222,2.7,3.42,1
223,2.08,0.09,0
224,1.43,4.93,1
225,5.84,14.94,4
226,1.57,6.03,1
227,-0.41,-0.14,0
228,10.33,2.78,2
229,9.91,2.42,2
230,5.16,8.73,3
231,0.9,-0.02,0
232,10.51,2.4,2
233,5.21,14.89,4
234,7.26,14.63,4
235,4.95,15.41,4
236,1,1.51,0
237,9.44,2.82,2
238,5.34,14.79,4
239,4.56,14.78,4
240,7.42,8.19,3
241,2.05,3.09,1
242,5.62,15.21,4
243,7.7,6.01,3
244,1.07,-0.23,0
245,10.12,3.16,2
246,1.75,4.59,1
247,0.68,-1.73,0
248,5.87,7.9,3
249,-0.02,-0.1,0
250,0,0,0
251,7.06,10.03,3
252,0,0,0
253,10.39,3.38,2
254,4.92,15.43,4
255,5.34,15.16,4
256,0.77,-0.26,0
257,9.96,4.49,2
258,4.45,6.49,3
259,3.83,15.58,4
260,2.62,4.02,1
261,10.11,4.35,2
262,9.8,2.18,2
263,2.09,-0.46,0
264,2.37,7.13,1
265,3.18,8.17,3
266,8.2,8.91,3
267,5.02,14.56,4
268,9.78,5,2
269,0,0,0
270,9.7,2.53,2
271,1.25,-0.44,0
272,1.39,7.38,1
273,0.39,0.76,0
274,5.27,15.65,4
275,0,0,0
276,6.29,7.18,3
277,4.38,7.11,3
278,5.8,15.17,4
279,0.67,0.39,0
280,5.46,15.06,4
281,4.51,14.59,4
282,-1.09,-0.49,0
283,9.98,2.44,2
284,4.51,15.8,4
285,9.96,7.65,3
286,10.09,3.12,2
287,6.4,5.95,3
288,1.75,6.59,1
289,9.67,3.49,2
290,0.5,-1.59,0
291,7.35,6.41,3
292,10.02,2.53,2
293,0,0,0
294,10.14,5.92,2
295,2.68,4.05,1
296,10.23,2.88,2
297,3.57,15.19,4
298,1.51,-0.24,0
299,1.96,5.71,1
300,9.55,4.6,2
301,7.9,8.57,3
302,8.08,6.38,3
303,9.96,3.47,2
304,9.98,3.47,2
305,1.58,6.65,1
306,1.73,4.56,1
307,1.59,4.62,1
308,1.89,5.8,1
309,1.69,5.34,1
310,9.91,4.86,2
311,10.07,2.83,2
312,7.85,8.25,3
313,9.55,1.41,2
314,2.81,-0.28,0
315,9.86,3.64,2
316,8.02,5.31,3
317,0,0,0
318,9.9,3.05,2
319,10,2.89,2
320,10.24,1.36,2
321,1.83,5.74,1
322,3.87,15.12,4
323,4.22,14.6,4
324,4.64,15,4
325,6.38,4.79,3
326,2.55,0.42,0
327,7.45,6.48,3
328,6.26,4.57,3
329,10.37,2.94,2
330,9.58,2.04,2
331,2.35,-0.93,0
332,0,0,0
333,6.06,15.58,4
334,2.03,8.01,1
335,0.15,0.84,0
336,3.73,8.53,3
337,7.83,10.64,3
338,7.38,8.11,3
339,10.08,0.65,2
340,5.74,4.74,3
341,8.61,3.9,3
342,9.51,4.94,2
343,4.93,14.98,4
344,5.54,14.47,4
345,0.66,1.08,0
346,2.47,8.17,1
347,9.78,2.64,2
348,1.82,2.78,1
349,9.77,3.03,2
350,0.14,0.86,0
351,1.69,2.61,1
352,10.09,1.9,2
353,4.84,14.57,4
354,6.75,14.71,4
355,1.93,5.08,1
356,5.67,14.77,4
357,2.24,0.26,0
358,2.16,-0.5,0
359,10.35,3.15,2
360,10.58,2,2
361,9.89,3.15,2
362,1.06,-0.33,0
363,4.94,15.21,4
364,2.86,4.32,1
365,4.65,4.96,3
366,2.51,0.64,0
367,5.3,15.34,4
368,0,0,0
369,0,0,0
370,12.3,7.78,3
371,5.09,8.68,3
372,9.65,3.99,2
373,9.72,2.04,2
374,5.37,14.32,4
375,3.69,14.95,4
376,4.6,15.63,4
377,9.35,6.87,3
378,5.34,15.27,4
379,0.12,0.1,0
380,10.08,1.66,2
381,9.39,9,3
382,10.78,2.74,2
383,4.34,14.84,4
384,4.98,14.9,4
385,5.76,15.28,4
386,10.59,7.6,3
387,9.82,0.92,2
388,10.01,6.42,2
389,-1.04,0.39,0
390,-0.17,0.91,0
391,6,9.45,3
392,0,0,0
393,9.97,1.3,2
394,4.64,14.48,4
395,1.25,3.77,1
396,2.48,5.87,1
397,10.31,0.94,2
398,9.85,2.27,2
399,6.47,14.9,4
400,10.68,2.81,2
401,0.86,-1.05,0
402,10.7,8.33,3
403,2.35,-0.04,0
404,1.78,4.73,1
405,-1.9,-0.74,0
406,1.3,-0.92,0
407,4.57,14.46,4
408,2.37,5.31,1
409,3.39,15.2,4
410,9.81,2.86,2
411,0.86,0.12,0
412,10.12,2.18,2
413,10.15,2.63,2
414,9.65,1.21,2
415,0,0,0
416,0.24,0.2,0
417,5.04,15.49,4
418,10.34,2.94,2
419,0,0,0
420,2,3.41,1
421,-0.23,-0.12,0
422,9.61,3,2
423,9.74,2.81,2
424,0.61,-2.75,0
425,9.57,2.77,2
426,11.16,9.05,3
427,6.36,5.2,3
428,2.79,5.11,1
429,9.71,0.87,2
430,0.33,1,0
431,2.26,6.04,1
432,0.35,0.38,0
433,9.92,2.83,2
434,5.68,14.67,4
435,5.47,4.93,3
436,7.64,8.44,3
437,6.21,9.26,3
438,10.35,3.01,2
439,-1.15,0.59,0
440,5.37,14.38,4
441,1.68,5.86,1
442,1.05,0.23,0
443,9.56,2.29,2
444,0,0,0
445,9.83,3.6,2
446,2.69,3.53,1
447,5.78,15.19,4
448,9.75,0.76,2
449,0,0,0
450,2.78,3.96,1
451,10.55,2.96,2
452,9.65,2.88,2
453,9.71,3.55,2
454,0.18,-0.17,0
455,5.61,15.2,4
456,2.49,4.92,1
457,1.87,5.35,1
458,5.8,15.3,4
459,2.41,1.35,0
460,10.19,2.09,2
461,10.2,2.65,2
462,5.9,9.95,3
463,9.53,3.03,2
464,2,-0.59,0
465,1.13,-1.55,0
466,5.86,14.5,4
467,1.77,0.41,0
468,0,0,0
469,2.08,5.36,1
470,1.38,0.37,0
471,6.88,14.45,4
472,0,0,0
473,1.92,6.32,1
474,0,0,0
475,2.93,-1.33,0
476,2.04,5.32,1
477,1.17,5.08,1
478,9.72,2.72,2
479,1.46,6.05,1
480,9.72,1.24,2
481,9.69,2.99,2
482,9.63,6.8,3
483,4.66,8.3,3
484,1.83,4.65,1
485,2,2.34,1
486,2.1,5.56,1
487,10.1,0.91,2
488,5.06,14.85,4
489,5.52,15.07,4
490,10.02,2.54,2
491,3.32,10.64,3
492,1.37,6.04,1
493,6.43,14.91,4
494,0,0,0
495,10.32,0.83,2
496,4.6,14.48,4
497,3.97,15.13,4
498,2.83,1.36,1
499,0,0,0
500,4.47,15.74,4
501,7.53,7.52,3
502,3.94,15.51,4
503,5.37,16.01,4
504,4.88,14.96,4
505,10.21,1.69,2
506,9.86,2.11,2
507,2.38,3.99,1
508,0.81,0.7,0
509,1.32,-1.15,0
510,9.76,2.86,2
511,1.36,7.31,1
512,5.9,14.73,4
513,11.48,7.23,3
514,0,0,0
515,9.78,1.24,2
516,10.31,3.34,2
517,9.64,5.67,2
518,6.08,15.14,4
519,4.3,10.93,3
520,1.16,-0.16,0
521,5.78,14.57,4
522,10.3,3.48,2
523,1.46,5.52,1
524,0,0,0
525,9.94,1.13,2
526,0,0,0
527,0,0,0
528,5.14,15.13,4
529,0.65,0.59,0
530,10.56,1.57,2
531,10.22,8.65,3
532,10.33,1.65,2
533,5.17,7.51,3
534,1.2,-1.05,0
535,2.2,-0.28,0
536,10.13,0.83,2
537,2.11,5.28,1
538,2.32,0.83,0
539,2.2,-0.58,0
540,9.86,3.73,2
541,0,0,0
542,5.6,14.75,4
543,0,0,0
544,-0.84,0.3,0
545,10.17,8.32,3
546,3.55,15.38,4
547,10.43,4.99,2
548,10.08,3.58,2
549,1.86,2.07,1
550,5.95,14.65,4
551,6.19,5.97,3
552,9.78,3.78,2
553,3.62,15.32,4
554,7.44,9.8,3
555,9.85,2.66,2
556,10.02,1.73,2
557,2.35,7.35,1
558,9.98,2.63,2
559,10.08,2.62,2
560,2.2,2.79,1
561,7.29,14.79,4
562,6.95,15.79,4
563,1.17,3.99,1
564,9.56,2.9,2
565,0,0,0
566,1.03,-1.22,0
567,4.48,15.21,4
568,3.43,14.76,4
569,5.05,15.54,4
570,7.2,3.1,3
571,0.9,-0.24,0
572,0.69,0.1,0
573,9.81,1.81,2
574,2,0.17,0
575,4.84,15.27,4
576,6.85,14.45,4
577,9.77,2.32,2
578,9.84,3.22,2
579,1.15,-0.22,0
580,0,0,0
581,-0.66,0.1,0
582,5.87,11.2,3
583,0,0,0
584,1.95,5.83,1
585,1.28,2.22,0
586,9.82,3.64,2
587,3.26,7.18,3
588,1.37,-1.22,0
589,9.58,6.11,3
590,5.51,5.63,3
591,1.63,5.78,1
592,6.31,14.79,4
593,4.79,14.64,4
594,3.34,-1.43,0
595,9.8,0.25,2
596,9.64,3.94,2
597,5.22,15.31,4
598,1.98,7.9,1
599,1.9,4.56,1
600,9.69,8.93,3
601,10.44,9.82,3
602,10.01,1.41,2
603,1.24,4.06,1
604,10.12,2.56,2
605,7.12,6.75,3
606,2.18,4.27,1
607,1.9,0.66,0
608,0,0,0
609,2,6.46,1
610,7.04,6.31,3
611,2.05,6.63,1
612,2.79,4.65,1
613,0,0,0
614,10.4,3.11,2
615,2.97,0.9,0
616,10.07,3.25,2
617,10.11,5.79,2
618,10.09,0.62,2
619,6.29,15.56,4
620,1.99,-0.05,0
621,5.78,14.72,4
622,7.45,8.85,3
623,2.14,0.41,0
624,9.44,8.26,3
625,5.01,15.25,4
626,1.06,-0.7,0
627,2.16,-0.07,0
628,10.49,1.9,2
629,1.46,1.33,0
630,7.84,7.73,3
631,0,0,0
632,2.85,5.44,1
633,1.32,3.39,1
634,1.56,-0.03,0
635,4.66,14,4
636,0,0,0
637,0,0,0
638,4.2,14.15,4
639,4.29,15.06,4
640,9.5,6.98,3
641,10.1,3.85,2
642,3.27,6.01,1
643,5.31,14.47,4
644,9.77,4.23,2
645,4.12,-0.39,0
646,9.76,1.75,2
647,1.62,1.75,1
648,9.84,2.92,2
649,9.66,6.92,2
650,2.03,3.55,1
651,1.38,5.36,1
652,3.84,15.46,4
653,10.14,1.63,2
654,5.32,15.75,4
655,4.26,15.14,4
656,8.05,8.95,3
657,10.22,2.44,2
658,5.03,15.2,4
659,9.93,4.33,2
660,5.1,15.01,4
661,0,0,0
662,9.84,5.05,2
663,0,0,0
664,5.59,15.36,4
665,0.48,-0.67,0
666,0,0,0
667,10.26,2.48,2
668,6.24,9.6,3
669,10.04,4.36,2
670,9.77,1.89,2
671,0.56,1.2,0
672,5.05,13.71,4
673,4.75,14.8,4
674,9.68,3.09,2
675,9.84,4.93,2
676,4.02,6.2,3
677,10.08,3.5,2
678,2.11,-0.56,0
679,10.32,1.67,2
680,0,0,0
681,9.35,3.98,2
682,9.4,0.5,2
683,6.56,14.63,4
684,3.09,5.39,3
685,1.78,-0.45,0
686,10.28,3.11,2
687,9.95,2.74,2
688,5.08,13.84,4
689,9.3,6.48,3
690,5.68,14.81,4
691,5.31,8.09,3
692,1.38,0.35,0
693,0,0,0
694,5.7,15.19,4
695,10.6,2.69,2
696,9.78,4.02,2
697,0.87,-0.33,0
698,0,0,0
699,9.86,3.86,2
700,5.42,14.74,4
701,2.42,-1.15,0
702,10.59,4.07,2
703,0.36,1.18,0
704,3.45,-0.82,0
705,1.52,0.37,0
706,0.87,-0.23,0
707,0,0,0
708,0,0,0
709,10.27,4.02,2
710,8.38,9.52,3
711,1.91,1.03,0
712,10.24,3.3,2
713,1.38,-0.66,0
714,0.95,0.23,0
715,2.3,0.01,0
716,0,0,0
717,3.29,6.42,3
718,2.06,-0.3,0
719,10.38,4.05,2
720,4.32,8.69,3
721,4.56,15.51,4
722,1.09,-0.64,0
723,4.92,15.02,4
724,9.96,2.43,2
725,4.71,14.66,4
726,3.98,15.18,4
727,0,0,0
728,1.73,1.33,0
729,2.2,5.98,1
730,0,0,0
731,10.38,3.67,2
732,0.73,-0.08,0
733,1.95,-1.68,0
734,1.92,2.57,1
735,0,0,0
736,10.59,2.84,2
737,0,0,0
738,10.29,1.76,2
739,5.62,15.26,4
740,0.78,-0.44,0
741,1.83,1.15,0
742,7.72,5.44,3
743,9.63,3.88,2
744,1.64,-0.65,0
745,10.02,3.57,2
746,6.84,14.61,4
747,10.13,4.54,2
748,1.29,-1.37,0
749,2.57,3.66,1
750,1.69,6.26,1
751,3.19,5.21,1
752,6.83,7.46,3
753,1.49,6.03,1
754,1.48,0.45,0
755,9.73,2.05,2
756,4.2,15.17,4
757,10.28,0.72,2
758,8.3,8.91,3
759,5.69,14.38,4
760,-0.48,-0.27,0
761,0,0,0
762,4.02,15.01,4
763,2.29,2.73,1
764,5.88,5.79,3
765,3.35,0.15,0
766,1.13,-0.2,0
767,10.24,4.61,2
768,10.19,2.93,2
769,10.04,3.15,2
770,0.23,-0.21,0
771,4.84,15.59,4
772,9.66,3.08,2
773,5.21,15.39,4
774,10.25,3.58,2
775,1.83,-0.45,0
776,6.04,14.3,4
777,-0.41,0.2,0
778,5.37,14.79,4
779,7.19,9.45,3
780,0,0,0
781,10.99,9.67,3
782,10.52,2.51,2
783,1.03,5.01,1
784,7.21,7.12,3
785,9.99,0.92,2
786,0.48,0.55,0
787,6.53,5.61,3
788,2.07,0.94,0
789,4.16,14.37,4
790,5.73,15.94,4
791,10.41,2.28,2
792,1.67,-0.44,0
793,2.15,4.84,1
794,1.35,1.52,0
795,5.76,14.64,4
796,7.37,5.77,3
797,2.55,-0.48,0
798,9.54,3,2
799,4.91,14.73,4
800,5.67,15.34,4
801,0,0,0
802,9.7,3.68,2
803,10.6,3.84,2
804,0,0,0
805,10.05,2.54,2
806,2.02,4.32,1
807,10.27,3.93,2
808,0,0,0
809,4.98,14.61,4
810,9.87,3.36,2
811,9.7,3.44,2
812,0,0,0
813,1.74,6.63,1
814,9.61,5.56,2
815,1.36,3.54,1
816,7.67,5.06,3
817,0.92,6.49,1
818,3.2,3.64,1
819,1.82,-2.16,0
820,9.92,1.52,2
821,9.88,0.17,2
822,7.7,7.64,3
823,4.81,15.02,4
824,10.23,6.18,3
825,1.54,3.46,1
826,10.6,4.8,2
827,0,0,0
828,5.07,15.1,4
829,1.43,5.59,1
830,0,0,0
831,7.18,5.35,3
832,9.73,2.37,2
833,2.87,14.78,4
834,1.35,0.31,0
835,5.72,15.49,4
836,9.59,3.66,2
837,1.62,2.97,1
838,9.84,3.28,2
839,5,14.55,4
840,9.39,3.93,2
841,4.92,14.7,4
842,0.9,0.51,0
843,1.28,0.04,0
844,1.7,4.63,1
845,5.39,15.65,4
846,9.61,3.4,2
847,0.18,-0.33,0
848,6.31,13.98,4
849,0,0,0
850,5.49,15.78,4
851,2.79,3.44,1
852,10.17,1.16,2
853,0.47,2.02,0
854,0,0,0
855,9.35,4.57,2
856,1.91,1.26,0
857,0,0,0
858,4.4,14.91,4
859,3.54,14.91,4
860,9.81,4.27,2
861,4.67,14.98,4
862,2.03,5.51,1
863,8.33,10.39,3
864,2.37,0.39,0
865,4.1,15.01,4
866,-0.03,-0.25,0
867,6.5,14.91,4
868,8.25,6.22,3
869,1.55,0.63,0
870,10.05,4.85,2
871,-0.61,-1.43,0
872,10.02,1.88,2
873,0.76,-0.5,0
874,9.8,4.78,2
875,1.57,6.52,1
876,5.2,9.45,3
877,0,0,0
878,1.67,-0.12,0
879,1.71,-0.16,0
880,0,0,0
881,10.64,3.42,2
882,10.17,0.16,2
883,10.03,3.23,2
884,10.04,3.85,2
885,7.14,4.92,3
886,-0.68,-0.32,0
887,1.48,4.07,1
888,8.89,14.61,4
889,9.97,0.26,2
890,10.11,1.77,2
891,6.3,15.81,4
892,0.65,-0.15,0
893,5.58,15.34,4
894,-0.78,-1.25,0
895,0,0,0
896,6.37,15.43,4
897,0,0,0
898,0,0,0
899,0.94,4.67,1
900,3.84,15.07,4
901,9.68,2.39,2
902,9.92,2.12,2
903,10.28,3.87,2
904,8.09,9.98,3
905,10.15,2.54,2
906,0.15,0.01,0
907,0,0,0
908,6.92,7.43,3
909,1.21,-0.85,0
910,9.68,3.94,2
911,5.7,14.9,4
912,10.1,1.54,2
913,6.47,14.9,4
914,5.16,14.76,4
915,9.62,5.45,2
916,10.54,2.56,2
917,0.16,-0.34,0
918,9.01,8.18,3
919,2.49,5.04,1
920,10.03,3.59,2
921,0,0,0
922,0,0,0
923,4.91,15.91,4
924,9.95,3.68,2
925,0,0,0
926,4.83,3.55,3
927,10.18,2.89,2
928,10.08,2.91,2
929,1.07,-1,0
930,9.61,4.43,2
931,2.37,4.73,1
932,0.58,0.11,0
933,7.35,7.55,3
934,1.52,-0.5,0
935,10.14,3.25,2
936,10.58,2.76,2
937,10.01,0.36,2
938,6.84,15.49,4
939,0,0,0
940,9.96,4,2
941,4.46,15.35,4
942,6.96,14.62,4
943,10.06,1.13,2
944,4.58,14.28,4
945,6.36,15.37,4
946,7.36,7.64,3
947,1.35,-0.71,0
948,3.68,15.82,4
949,1.45,5.98,1
950,2.65,0.44,0
951,5.12,14.5,4
952,-0.13,-0.61,0
953,7.74,6.68,3
954,9.84,1.54,2
955,0.84,-0.68,0
956,9.87,5.6,2
957,0,0,0
958,4.67,3.96,3
959,0,0,0
960,9.73,2.09,2
961,1.29,1.08,0
962,1.09,5.34,1
963,9.7,1.18,2
964,2.06,3.13,1
965,0,0,0
966,9.7,4.07,2
967,9.88,2.69,2
968,5.15,14.59,4
969,2.04,4.06,1
970,9.87,2.54,2
971,5.73,15.42,4
972,3.87,15.63,4
973,9.82,2.5,2
974,1.13,0.29,0
975,-1.08,1.64,0
976,9.84,0.75,2
977,8.1,3.85,3
978,4.58,14.98,4
979,0,0,0
980,2.65,7.19,1
981,3.28,0.16,0
982,6.13,15.65,4
983,6.1,14.53,4
984,9.62,3.73,2
985,6.2,14.94,4
986,10.6,2.87,2
987,9.78,6.39,2
988,9.81,3.59,2
989,7.13,6.14,3
990,4.68,5.18,3
991,2.23,0.2,0
992,2.5,4.88,1
993,6.49,14.27,4
994,9.72,3.76,2
995,0,0,0
996,8.64,9.79,3
997,5.77,5.66,3
998,0,0,0
999,5.18,15.2,4
1000,0.62,0.46,0
1001,2.07,3.58,1
1002,1.72,-0.52,0
1003,10.21,3.35,2
1004,10.13,1.42,2
1005,5.91,14.53,4
1006,6.75,7.23,3
1007,6.06,14.76,4
1008,10.23,0.26,2
1009,1.65,4.43,1
1010,10.19,2.63,2
1011,1.29,6.53,1
1012,2.14,5.39,1
1013,1.46,6.2,1
1014,2.11,3.93,1
1015,6.39,3.01,3
1016,10.01,2.98,2
1017,4.76,15.8,4
1018,10.06,1.18,2
1019,0,0,0
1020,7.91,6.77,3
1021,10.22,2.99,2
1022,4.39,8.58,3
1023,5.65,15.18,4
1024,4.32,15.76,4
1025,1.1,8.22,1
1026,4.12,14.74,4
1027,5.9,6.99,3
1028,6.19,7.49,3
1029,10.08,2.48,2
1030,4.14,15.02,4
1031,1.73,0.47,0
1032,2.08,6.54,1
1033,5.54,15.14,4
1034,10.01,2.73,2
1035,1.59,5.16,1
1036,5.18,15.16,4
1037,3,13.56,4
1038,10.09,4.97,2
1039,9.6,9.26,3
1040,0.12,-0.84,0
1041,9.89,4.84,2
1042,7.78,12.42,3
1043,9.59,3.46,2
1044,10.54,1.61,2
1045,1.18,0.15,0
1046,9.75,2.68,2
1047,9.83,3.83,2
1048,10.16,-0.84,2
1049,1.67,5.39,1
1050,-0.06,0.89,0
1051,5.79,14.65,4
1052,1.58,0.55,0
1053,1.32,5.42,1
1054,4.03,14.57,4
1055,6.01,7.82,3
1056,9.82,2.73,2
1057,0,0,0
1058,4.32,16.01,4
1059,1.48,0.31,0
1060,5.67,6.57,3
1061,0,0,0
1062,10.28,0.63,2
1063,0,0,0
1064,0,0,0
1065,0.62,1.44,0
1066,5.28,8.4,3
1067,6.83,14.43,4
1068,0,-0.91,0
1069,10.06,2.21,2
1070,2.61,3.86,1
1071,7.84,3.96,3
1072,0,0,0
1073,9.84,1.75,2
1074,6.73,8.25,3
1075,9.81,4.56,2
1076,4.47,14.54,4
1077,8.73,6.7,3
1078,9.91,5.09,2
1079,0,0,0
1080,5.19,15.67,4
1081,1.94,3.42,1
1082,1.44,2.96,1
1083,2.61,5.89,1
1084,2.58,-0.26,0
1085,9.95,-0.55,2
1086,2.92,15.04,4
1087,9.64,0.04,2
1088,7.47,8.8,3
1089,8.1,8.95,3
1090,0.93,-0.87,0
1091,3.07,5.82,1
1092,7.4,8.34,3
1093,9.44,4.89,2
1094,10.14,0.35,2
1095,4.9,15.18,4
1096,4.98,9.99,3
1097,0,0,0
1098,4.21,14.88,4
1099,5.71,15.14,4
1100,1.25,-1.27,0
1101,10.23,4.34,2
1102,2.25,3.91,1
1103,9.8,3.13,2
1104,0.85,1.26,0
1105,1.54,5.44,1
1106,5.38,14.64,4
1107,1.71,6.4,1
1108,4.24,15.62,4
1109,2.58,3.44,1
1110,10.4,2.94,2
1111,0.86,-1.27,0
1112,1.06,0.47,0
1113,9.92,2.72,2
1114,10.01,2.41,2
1115,2.99,8.12,3
1116,1.47,0.14,0
1117,1.61,6.84,1
1118,4.93,14.97,4
1119,1.44,-0.19,0
1120,1.8,0.09,0
1121,10.2,2.86,2
1122,9.62,6.47,2
1123,9.94,7.73,3
1124,6.03,7.15,3
1125,9.4,4.86,3
1126,9.75,4.4,2
1127,0,0,0
1128,5.4,14.98,4
1129,-0.2,-0.24,0
1130,5.49,15.3,4
1131,10.31,1.93,2
1132,5.54,14.69,4
1133,9.59,2.6,2
1134,10.37,3.8,2
1135,9.58,2.03,2
1136,1.22,5.32,1
1137,2.38,2.74,1
1138,2.47,5.22,1
1139,9.03,8.58,3
1140,10.28,3.65,2
1141,10.06,2.87,2
1142,0.77,-0.13,0
1143,10.01,3.85,2
1144,-0.44,-0.43,0
1145,4.52,3.47,3
1146,-0.71,-1.3,0
1147,10.32,4.01,2
1148,6.73,7.62,3
1149,1.89,7.67,1
1150,0,0,0
1151,2.09,6.68,1
1152,9.39,8.89,3
1153,5.89,14.7,4
1154,9.39,1.27,2
1155,2.74,-0.72,0
1156,9.66,0.17,2
1157,0.45,-0.13,0
1158,9.96,2.82,2
1159,0.05,-0.32,0
1160,3.18,0.71,0
1161,2.05,-0.09,0
1162,5.75,5.81,3
1163,2.25,7.73,1
1164,10.35,1.58,2
1165,1.14,0.51,0
1166,4.41,14.47,4
1167,2.19,6.56,1
1168,0,0,0
1169,1.85,5.72,1
1170,-0.93,-0.36,0
1171,0,0,0
1172,4.25,15.05,4
1173,7.23,8.09,3
1174,2.08,5.31,1
1175,10.21,2.17,2
1176,0,0,0
1177,5.32,14.76,4
1178,6.48,14.67,4
